poi이름,x,y,cctv 용도
CCTV,196516.901,445596.2002,불법주정차
CCTV,196274.6679,445524.3299,방범
CCTV,196713.5063,445348.4411,불법주정차
CCTV,196607.9681,445359.6154,방범
CCTV,196232.083,445377.8237,방범
CCTV,196266.5747,445398.818,방범
CCTV,196463.1777,445110.454,어린이안전
CCTV,196347.8612,445613.2426,방범
CCTV,196533.9731,445530.9436,불법주정차
CCTV,196600.0331,445501.0275,어린이안전
CCTV,196545.1698,445390.0629,불법주정차
CCTV,196484.4958,445383.3625,방범
CCTV,196650.7887,445404.7588,방범
CCTV,196630.6276,445442.8467,쓰레기 무단투기
CCTV,197166.4362,444954.9693,도심공원
CCTV,196170.3179,445171.9928,방범
CCTV,197121.2768,444997.6482,방범
CCTV,196368.4995,445375.9651,방범
CCTV,196559.2543,444897.84,어린이안전
CCTV,197348.5571,445040.9909,방범
CCTV,196631.1615,445167.3762,방범
CCTV,196711.3791,445402.1708,어린이안전
CCTV,196717.9971,445682.4776,도심공원
CCTV,196604.2942,445304.8781,어린이안전
CCTV,197403.4006,445002.1392,방범
CCTV,196719.2195,445307.2404,방범
CCTV,196746.6019,445238.6395,쓰레기 무단투기
CCTV,197048.5454,445131.0692,불법주정차
CCTV,197201.3549,445090.6614,방범
CCTV,196614.3225,444505.3338,어린이안전
CCTV,196673.5946,444550.8368,방범
CCTV,196541.4567,444455.0755,어린이안전
CCTV,196200.5463,445245.3304,방범
CCTV,196175.3503,445482.7325,방범
CCTV,196584.1271,445199.171,불법주정차
CCTV,196837.9741,444986.275,방범
CCTV,196422.304,445548.094,방범
CCTV,196500.2864,444961.538,불법주정차
CCTV,196911.111,445021.9854,어린이안전
CCTV,195966.8592,445155.3965,어린이안전
CCTV,196642.8543,444870.3255,방범
CCTV,197264.4823,445078.5429,방범
CCTV,196496.1914,444307.9367,도심공원
CCTV,196919.9119,445460.3149,어린이안전
CCTV,196839.9755,444878.1728,방범
CCTV,196431.057,444578.9837,어린이안전
CCTV,196714.9145,444973.6035,방범
CCTV,196703.4789,445457.4123,도심공원
CCTV,196670.1041,444887.906,방범
CCTV,196288.9602,445554.2456,방범
CCTV,196125.9473,445110.2268,방범
CCTV,197465.9979,445046.4814,방범
CCTV,196804.2962,445404.421,방범
CCTV,196363.3812,445519.7845,방범
CCTV,196122.5965,445471.2698,방범
CCTV,196051.3719,445141.4937,방범
CCTV,197279.8524,445006.2741,쓰레기 무단투기
CCTV,197198.5995,444942.9385,방범
CCTV,196529.944,445494.708,방범
CCTV,196799.934,444705.9694,어린이안전
CCTV,196466.852,445267.9877,방범
CCTV,196178.6063,445545.6275,방범
CCTV,196823.2614,445242.2725,도심공원
