빌라,월세(만원),보증금(만원),면적,층,주소
상도더하임,200,200,54.15,2,상도동 299-42
주원베르빌102,115,"10,000",26.43,5,상도동 294-80
원형쉐르빌(289-26),100,"5,000",72.48,2,상도동 289-26
엘렌하우스,91,"3,000",16.23,4,상도동 321-5
미소가26차,90,"5,000",31.98,4,상도동 302-17
(440-0),86,"2,000",20.3,2,상도1동 440
예그린,80,200,35.52,4,상도동 211-185
상도로지빌,80,"2,000",29.1,5,상도동 279-261
휴먼빌레(299-164),77,"2,700",29.65,4,상도동 299-164
해오름빌,75,"8,000",28.26,2,상도1동 457
다나네스트빌(211-91),70,"1,000",45.86,3,상도동 211-91
지안,70,"5,000",23.38,4,상도동 256-53
미소가9차,70,"5,000",33.7,3,상도동 292-50
청운하우스,70,"17,000",45.89,4,상도동 321-3
(210-188),70,"3,000",46.44,4,상도동 210-188
민진하임,65,"1,000",20.38,5,상도1동 680
(134-195),60,"3,000",45.08,1,상도동 134-195
에벤에셀(428-1),60,"1,000",14.14,2,상도1동 428-1
유진하이츠빌라,60,"2,000",42.11,2,상도동 22-31
청구빌리지,60,"2,000",57.47,3,상도동 302-14
민진하임,60,"1,000",17.73,5,상도1동 680
신성빌,58,"2,000",23.26,2,상도1동 326-10
상록원룸,55,"4,000",27.66,4,상도동 467-5
금화빌,53,500,17.64,2,상도동 360-68
(495-2),51,500,16.1,4,상도동 495-2
늘품명가2차,50,"3,000",14.36,3,상도1동 483-9
에덴빌,45,"5,000",23.03,3,상도1동 538
아침햇살,40,"3,000",12.14,4,상도동 1-22
(469-4),39,"5,000",29.08,3,상도동 469-4
올레하우스,30,"22,000",27.53,6,상도동 324-60
무경하우스,30,"3,000",12.49,4,상도동 496-18
대왕주택(214-421),30,"15,000",47.82,2,상도동 214-421
현진빌라(221-1),30,"21,000",86.4,1,상도동 221-1
재오에이트,25,"25,000",59.28,3,상도동 256-230
이주아트빌라(나동),20,"14,000",53.07,1,상도동 156-14
쉐어하우스,20,"5,000",14.98,1,상도동 214-350
리안아트,20,"17,800",29.96,1,상도동 279-475
상도센트레빌,20,"26,000",36.87,2,상도1동 665-6
은하맨션,20,"24,000",66.26,2,상도동 201-152
중앙빌라,20,"35,000",84.88,3,상도1동 491-3
중앙빌라,20,"35,000",84.88,3,상도1동 491-3
상도힐,16,"13,000",27.43,5,상도동 159-223
초원하이츠빌라,15,"13,000",40.08,2,상도동 210-62
드림팰리스II,15,"13,000",18.21,4,상도동 358-20
푸른숲하우스,14,"18,900",27.34,4,상도동 259-61
그린홈,14,"18,000",38.32,3,상도동 292-17
맨하탄하우징(256-180),12,"28,000",50.38,4,상도동 256-180
상도동행복주택,11,"4,402",20.01,3,상도동 211-467
한강노블레스,10,"25,000",43.14,3,상도동 335-66
세이프빌,10,"27,400",29.9,2,상도동 159-42
삼성상도빌라,10,"44,000",152.37,4,상도1동 459
승신빌라,10,"10,500",48.96,-1,상도동 279-357
케이디아이빌E동,8,"12,500",23.29,2,상도동 7-171
미경빌라(214-35),8,"5,000",50.38,-1,상도동 214-35
대흥미소가29차(A동),5,"24,000",29.78,2,상도동 227-1
영창하이츠빌라나,5,"24,000",56.9,3,상도1동 328-5
흑석빌리지,71,"3,000",56.59,4,흑석동 186-72
수인빌,60,"1,000",52.76,2,흑석동 196-62
(34-81),30,0,27.85,1,본동 34-81
(51-8),20,"11,500",12.4,2,본동 51-8
(51-11),15,"17,000",16.87,3,본동 51-11
(51-8),10,"15,000",17.1,2,본동 51-8
"문성하이트빌라(294-3,41)",60,"3,000",47.7,1,노량진동 294-3
미도빌,55,500,14.7,4,노량진동 148-5
정원스테이,20,"24,300",29.97,3,노량진동 218-75
한강하이츠빌라1,15,"17,850",59.98,2,노량진동 205-32
정원스테이,12,"22,600",28.48,5,노량진동 218-75
라움(310-57),6,"18,500",21.11,4,노량진동 310-57
아트라움(103-139),155,"5,000",53.14,6,신림동 103-139
로뎀하우스,140,"2,000",29.31,2,신림동 478-9
신후가15차,120,"5,000",29.93,2,신림동 441-125
신후가15차,120,"4,000",29.2,5,신림동 441-125
신후가15차,110,"5,000",28.06,1,신림동 441-125
다온타워,105,"5,000",26.03,8,신림동 1420-6
그랜드힐,102,"3,000",29.8,8,신림동 1460-3
으뜸캐슬,100,"2,000",24.98,4,신림동 103-230
으뜸캐슬,100,"3,000",24.98,5,신림동 103-230
정원팰리체A동B동,100,"2,000",29.84,6,신림동 251-368
으뜸캐슬,100,"3,000",24.98,5,신림동 103-230
은선빌라(610-260),90,"3,000",68.8,3,신림동 610-260
성강채,80,"3,000",29.94,2,신림동 1483-4
은선빌라(610-260),80,"4,000",69.6,1,신림동 610-260
마이바움신림,80,"2,000",39.84,4,신림동 1465-17
103-134,78,"3,200",39.31,4,신림동 103-134
우성아트빌,78,"3,000",50.26,3,신림동 492-17
(120-93),75,"1,000",37.32,2,신림동 120-93
한백아트,75,"4,000",44.39,5,신림동 626-34
명일파크빌,62,"3,000",27.09,2,신림동 502-26
엘림하우스,60,"2,000",79.59,1,신림동 378-26
자이오피스텔,58,"3,000",10.64,8,신림동 1412-3
삼성아트빌(626-65),55,"2,000",48.42,1,신림동 626-65
써밋(551-29),55,"10,000",26.3,7,신림동 551-29
휴파크,54,"3,000",17.56,2,신림동 501-29
휴파크,54,"5,000",22.61,3,신림동 501-29
스타빌딩,53,500,14.21,6,신림동 1460-4
삼익빌라,50,"3,000",43.23,-1,신림동 685-66
가윤,50,500,14.01,7,신림동 1461-7
헤븐빌리지,50,300,22.16,3,신림동 501-12
대신아트빌3차,50,"2,500",72.72,4,신림동 524-6
에덴빌라(598-113),50,"10,000",63.02,2,신림동 598-113
경원하이츠텔,48,500,21.66,12,신림동 1421-39
가온누리,47,"1,000",17.67,6,신림동 1413-33
JCSTUDIO,46,"5,000",18.67,11,신림동 1432-101
은석하우스,45,500,36.29,3,신림동 1661-14
휴드림,45,500,29.96,9,신림동 1422-2
해피빌,45,"1,000",29.32,5,신림동 463-24
(10-584),45,"3,000",109.66,2,신림동 10-584
청운,39,300,13.6,2,신림동 244-101
은연재,36,"3,000",14.18,4,신림동 613-13
은연재,36,"3,000",14.18,4,신림동 613-13
은선빌라(610-260),35,"10,000",69.6,1,신림동 610-260
(1608-25),35,"20,000",67.93,3,신림동 1608-25
(1608-25),35,"20,000",67.93,3,신림동 1608-25
JCSTUDIO,33,"10,000",20.59,11,신림동 1432-101
