?�점,강남권역,강남권역
?�점,?�립?�세?�,?�독주택
2019.01,100.1,99.9
2019.02,100,99.9
2019.03,100,100
2019.04,99.9,100
2019.05,99.9,100
2019.06,99.9,99.9
2019.07,99.8,99.9
2019.08,99.9,99.9
2019.09,99.8,99.8
2019.1,99.8,99.8
2019.11,99.8,99.8
2019.12,99.8,99.8
2020.01,99.8,99.8
2020.02,99.8,99.9
2020.03,99.8,99.9
2020.04,99.8,99.9
2020.05,99.8,99.9
2020.06,99.8,99.9
2020.07,99.8,99.9
2020.08,99.8,99.9
2020.09,99.8,99.9
2020.1,99.8,99.9
2020.11,99.8,99.9
2020.12,99.9,99.9
2021.01,99.9,100
2021.02,100,100
2021.03,100,100
2021.04,100,100
2021.05,100,100
2021.06,100,100
2021.07,100,100
2021.08,100.2,100.1
2021.09,100.2,100.2
2021.1,100.4,100.2
2021.11,100.4,100.3
2021.12,100.4,100.3
2022.01,100.4,100.3
2022.02,100.4,100.3
2022.03,100.5,100.3
2022.04,100.5,100.3
2022.05,100.6,100.3
2022.06,100.6,100.3
2022.07,100.7,100.4
2022.08,100.8,100.4
2022.09,100.9,100.5
2022.1,100.9,100.6
2022.11,101,100.6
2022.12,100.9,100.6
2023.01,100.8,100.5
2023.02,100.9,100.5
2023.03,101,100.4
2023.04,101.2,100.4
2023.05,101.4,100.4
2023.06,101.6,100.5
2023.07,101.8,100.6
2023.08,101.9,100.7
2023.09,102.2,100.9
2023.1,102.3,101
