"시점",서울,서울
"시점",강남권역,강남권역
"시점",연립다세대,단독주택
"2019.01",99.5,99.7
"2019.02",99.5,99.7
"2019.03",99.4,99.7
"2019.04",99.3,99.7
"2019.05",99.3,99.6
"2019.06",99.3,99.6
"2019.07",99.2,99.6
"2019.08",99.2,99.6
"2019.09",99.2,99.5
"2019.10",99.3,99.5
"2019.11",99.3,99.6
"2019.12",99.3,99.6
"2020.01",99.3,99.6
"2020.02",99.3,99.6
"2020.03",99.4,99.6
"2020.04",99.4,99.6
"2020.05",99.4,99.6
"2020.06",99.4,99.6
"2020.07",99.4,99.6
"2020.08",99.4,99.7
"2020.09",99.5,99.7
"2020.10",99.5,99.7
"2020.11",99.6,99.7
"2020.12",99.7,99.8
"2021.01",99.7,99.9
"2021.02",99.8,99.9
"2021.03",99.9,99.9
"2021.04",99.9,99.9
"2021.05",99.9,100.0
"2021.06",100.0,100.0
"2021.07",100.1,100.0
"2021.08",100.2,100.1
"2021.09",100.4,100.2
"2021.10",100.6,100.3
"2021.11",100.8,100.3
"2021.12",100.9,100.4
"2022.01",101.0,100.5
"2022.02",101.0,100.5
"2022.03",101.1,100.5
"2022.04",101.1,100.5
"2022.05",101.1,100.6
"2022.06",101.2,100.6
"2022.07",101.2,100.6
"2022.08",101.3,100.7
"2022.09",101.4,100.7
"2022.10",101.4,100.7
"2022.11",101.4,100.7
"2022.12",101.3,100.7
"2023.01",101.2,100.6
"2023.02",101.0,100.6
"2023.03",100.9,100.5
"2023.04",100.8,100.5
"2023.05",100.8,100.4
"2023.06",100.8,100.4
"2023.07",100.8,100.4
"2023.08",100.8,100.4
"2023.09",100.8,100.5
"2023.10",100.8,100.6
